"Status","Year","Region_ITL1","Organisation","Profession_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","North West (England)","Charity Commission","Finance","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Charity Commission","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Charity Commission","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Charity Commission","Legal","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Charity Commission","Operational Delivery","220","210","29360","27570"
"In post","2022","North West (England)","Charity Commission","Other","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Charity Commission","Policy","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Charity Commission","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Charity Commission","Property","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Charity Commission","Security","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Companies House","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Crown Commercial Service","Commercial","180","170","35560","38330"
"In post","2022","North West (England)","Crown Commercial Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Crown Commercial Service","Digital, Data and Technology","50","50","41350","38980"
"In post","2022","North West (England)","Crown Commercial Service","Finance","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Crown Commercial Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Crown Commercial Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Crown Commercial Service","Operational Delivery","80","80","36260","30700"
"In post","2022","North West (England)","Crown Commercial Service","Policy","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Crown Commercial Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Crown Prosecution Service","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Crown Prosecution Service","Communications","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Crown Prosecution Service","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Crown Prosecution Service","Finance","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Crown Prosecution Service","Human Resources","50","50","[c]","[c]"
"In post","2022","North West (England)","Crown Prosecution Service","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Crown Prosecution Service","Legal","470","430","52790","54200"
"In post","2022","North West (England)","Crown Prosecution Service","Operational Delivery","440","410","26370","25480"
"In post","2022","North West (England)","Crown Prosecution Service","Policy","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Crown Prosecution Service","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Crown Prosecution Service","Property","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Crown Prosecution Service","Security","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Defence Equipment and Support","Finance","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Defence Equipment and Support","Other","80","80","23300","21310"
"In post","2022","North West (England)","Defence Equipment and Support","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Defence Equipment and Support","Science and Engineering","40","40","[c]","[c]"
"In post","2022","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Economics","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Policy","210","200","41830","36740"
"In post","2022","North West (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Economics","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Finance","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Intelligence Analysis","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Operational Research","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Other","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Policy","50","40","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Security","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Social Research","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Digital, Culture, Media and Sport","Statistics","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Education (excl. agencies)","Commercial","60","60","39510","36500"
"In post","2022","North West (England)","Department for Education (excl. agencies)","Communications","40","40","[c]","[c]"
"In post","2022","North West (England)","Department for Education (excl. agencies)","Digital, Data and Technology","150","140","40300","36740"
"In post","2022","North West (England)","Department for Education (excl. agencies)","Finance","110","110","43230","42950"
"In post","2022","North West (England)","Department for Education (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Education (excl. agencies)","Legal","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Education (excl. agencies)","Operational Delivery","70","70","40980","36500"
"In post","2022","North West (England)","Department for Education (excl. agencies)","Policy","430","410","40470","36500"
"In post","2022","North West (England)","Department for Education (excl. agencies)","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Education (excl. agencies)","Property","110","110","46240","49860"
"In post","2022","North West (England)","Department for Education (excl. agencies)","Security","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data and Technology","130","120","44070","47550"
"In post","2022","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Finance","40","40","[c]","[c]"
"In post","2022","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Human Resources","30","30","[c]","[c]"
"In post","2022","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Other","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Policy","140","130","38320","35900"
"In post","2022","North West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","Property","50","40","[c]","[c]"
"In post","2022","North West (England)","Department for International Trade","Digital, Data and Technology","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for International Trade","International Trade","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for International Trade","Knowledge and Information Management","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for International Trade","Operational Delivery","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2022","North West (England)","Department for Levelling Up, Housing and Communities (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
