"Status","Year","Responsibility_level","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","G6/G7","Male","Scottish Government (excl. agencies)","70","70","56390","50700"
"New entrant CS","2021","G6/G7","Male","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Social Security Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","United Kingdom Statistics Authority","50","50","53000","52100"
"New entrant CS","2021","G6/G7","Male","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Male","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","G6/G7","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Cabinet Office (excl. agencies)","70","70","81270","72000"
"New entrant CS","2021","SCS","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Public Health England","40","30","[c]","[c]"
"New entrant CS","2021","SCS","Female","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Female","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Cabinet Office (excl. agencies)","110","110","85940","72000"
"New entrant CS","2021","SCS","Male","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Public Health England","40","30","[c]","[c]"
"New entrant CS","2021","SCS","Male","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Male","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Animal and Plant Health Agency","30","30","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Cabinet Office (excl. agencies)","540","540","30990","28000"
"New entrant CS","2021","SEO/HEO","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Crown Commercial Service","30","30","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Crown Prosecution Service","70","70","38120","38000"
"New entrant CS","2021","SEO/HEO","Female","Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Defence Equipment and Support","100","100","35210","36500"
"New entrant CS","2021","SEO/HEO","Female","Defence Science and Technology Laboratory","50","40","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","240","230","35690","33570"
"New entrant CS","2021","SEO/HEO","Female","Department for Digital, Culture, Media and Sport","120","120","35820","34020"
"New entrant CS","2021","SEO/HEO","Female","Department for Education (excl. agencies)","140","140","34100","32940"
"New entrant CS","2021","SEO/HEO","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","330","310","33530","32560"
"New entrant CS","2021","SEO/HEO","Female","Department for International Trade","100","100","34020","31800"
"New entrant CS","2021","SEO/HEO","Female","Department for Transport (excl. agencies)","140","140","34730","34710"
"New entrant CS","2021","SEO/HEO","Female","Department for Work and Pensions (excl. agencies)","200","190","34800","35000"
"New entrant CS","2021","SEO/HEO","Female","Department of Health and Social Care (excl. agencies)","370","360","33910","32790"
"New entrant CS","2021","SEO/HEO","Female","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Food Standards Agency","40","40","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Government Legal Department","40","40","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","Health and Safety Executive","40","30","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","HM Courts and Tribunals Service","190","190","29260","28600"
"New entrant CS","2021","SEO/HEO","Female","HM Land Registry","30","30","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Female","HM Prison and Probation Service","100","100","32090","30120"
