"Status","Year","Sexual_orientation","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Heterosexual / straight","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","UK Health Security Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SCS","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Animal and Plant Health Agency","70","70","33920","35900"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Cabinet Office (excl. agencies)","250","240","34970","34550"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Companies House","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Competition and Markets Authority","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Crown Commercial Service","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Crown Office and Procurator Fiscal Service","100","100","36980","39730"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Crown Prosecution Service","90","90","37020","38000"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Defence Equipment and Support","330","320","35770","34000"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Defence Science and Technology Laboratory","140","130","30540","29230"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","280","280","36260","33570"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Department for Digital, Culture, Media and Sport","170","170","34450","34020"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Department for Education (excl. agencies)","260","250","34110","36500"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","670","660","33680","32560"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Department for International Trade","130","130","34190","31800"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Department for Levelling Up, Housing and Communities (excl. agencies)","220","210","33980","33210"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Department for Transport (excl. agencies)","180","180","36700","34710"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Department for Work and Pensions (excl. agencies)","380","380","35560","35310"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Department of Health and Social Care (excl. agencies)","170","150","34720","32790"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Driver and Vehicle Standards Agency","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Education and Skills Funding Agency","80","80","33090","32620"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Food Standards Agency","110","100","33960","32350"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Government Legal Department","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Health and Safety Executive","100","100","41130","39330"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","HM Courts and Tribunals Service","130","130","34330","34260"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","HM Land Registry","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","HM Prison and Probation Service","210","200","33920","31920"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","HM Revenue and Customs (excl. agencies)","980","980","34730","33080"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","HM Treasury (excl. agencies)","100","100","30350","29320"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Home Office","80","80","36490","36590"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Intellectual Property Office","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Maritime and Coastguard Agency","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Ministry of Defence (excl. agencies)","510","500","36690","34170"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Ministry of Justice (excl. agencies)","200","200","36060","34500"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","National Crime Agency","120","110","42020","40210"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Office for Standards in Education, Children's Services and Skills","110","100","45370","46360"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Office of Gas and Electricity Markets","90","90","37750","37000"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Public Health England","90","80","35640","36330"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Scottish Government (excl. agencies)","320","310","36260","35540"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Social Security Scotland","160","150","34690","31540"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","The National Archives","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","UK Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","UK Export Finance","60","50","41210","41250"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","UK Health Security Agency","550","510","34650","32790"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","UK Statistics Authority","310","300","33190","30710"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Valuation Office Agency","60","50","35220","31130"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Welsh Government (excl. agencies)","110","110","36680","40100"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","SEO/HEO","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Unknown","HM Prison and Probation Service","4900","4570","28760","26310"
