"Status","Year","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","South West (England)","Planning Inspectorate","100","90","30370","26050"
"New entrant CS","2021","South West (England)","Public Health England","370","320","31700","28590"
"New entrant CS","2021","South West (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Submarine Delivery Agency","150","150","34080","29750"
"New entrant CS","2021","South West (England)","UK Hydrographic Office","70","70","28000","20820"
"New entrant CS","2021","South West (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","South West (England)","Valuation Office Agency","60","60","22470","20880"
"New entrant CS","2021","South West (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Cabinet Office (excl. agencies)","220","220","36740","28000"
"New entrant CS","2021","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Work and Pensions (excl. agencies)","320","310","28900","27570"
"New entrant CS","2021","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","HM Revenue and Customs (excl. agencies)","320","310","[c]","[c]"
"New entrant CS","2021","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Animal and Plant Health Agency","50","50","21710","21050"
"New entrant CS","2021","Wales","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Companies House","60","60","37150","36070"
"New entrant CS","2021","Wales","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Department for Work and Pensions (excl. agencies)","610","600","24540","27570"
"New entrant CS","2021","Wales","Driver and Vehicle Licensing Agency","340","310","23790","21590"
"New entrant CS","2021","Wales","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","ESTYN","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","HM Courts and Tribunals Service","110","110","19500","18880"
"New entrant CS","2021","Wales","HM Land Registry","60","60","23400","22350"
"New entrant CS","2021","Wales","HM Prison and Probation Service","300","300","22620","22850"
"New entrant CS","2021","Wales","HM Revenue and Customs (excl. agencies)","320","300","21860","20140"
"New entrant CS","2021","Wales","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","Wales","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","UK Intellectual Property Office","180","180","28520","23320"
"New entrant CS","2021","Wales","United Kingdom Statistics Authority","440","430","30470","29540"
"New entrant CS","2021","Wales","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Wales","Welsh Government (excl. agencies)","200","180","27640","20500"
"New entrant CS","2021","Wales","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Animal and Plant Health Agency","40","40","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Crown Commercial Service","30","30","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Crown Prosecution Service","60","60","35970","38000"
"New entrant CS","2021","West Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Department for Education (excl. agencies)","60","60","33630","29360"
"New entrant CS","2021","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Department for Transport (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Department for Work and Pensions (excl. agencies)","1020","990","26060","27570"
"New entrant CS","2021","West Midlands (England)","Driver and Vehicle Standards Agency","30","30","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Education and Skills Funding Agency","40","40","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","HM Courts and Tribunals Service","320","300","20840","18880"
"New entrant CS","2021","West Midlands (England)","HM Land Registry","80","80","24700","22350"
"New entrant CS","2021","West Midlands (England)","HM Prison and Probation Service","580","550","22820","22850"
"New entrant CS","2021","West Midlands (England)","HM Revenue and Customs (excl. agencies)","340","340","26380","20140"
"New entrant CS","2021","West Midlands (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Insolvency Service","40","40","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Ministry of Defence (excl. agencies)","170","160","30650","26350"
"New entrant CS","2021","West Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","National Crime Agency","100","100","33280","32770"
"New entrant CS","2021","West Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Office of Qualifications and Examinations Regulation","40","40","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Public Health England","120","100","31360","27780"
"New entrant CS","2021","West Midlands (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","West Midlands (England)","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Animal and Plant Health Agency","60","60","24040","23680"
"New entrant CS","2021","Yorkshire and The Humber","Cabinet Office (excl. agencies)","70","70","32200","23850"
"New entrant CS","2021","Yorkshire and The Humber","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Crown Prosecution Service","70","60","33070","30130"
"New entrant CS","2021","Yorkshire and The Humber","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Department for Education (excl. agencies)","110","110","31780","29360"
"New entrant CS","2021","Yorkshire and The Humber","Department for Environment, Food and Rural Affairs (excl. agencies)","100","100","33330","29180"
"New entrant CS","2021","Yorkshire and The Humber","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Department for Work and Pensions (excl. agencies)","1660","1630","26490","27570"
"New entrant CS","2021","Yorkshire and The Humber","Department of Health and Social Care (excl. agencies)","300","290","37740","32790"
"New entrant CS","2021","Yorkshire and The Humber","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","Health and Safety Executive","40","40","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","HM Courts and Tribunals Service","120","120","20610","18880"
"New entrant CS","2021","Yorkshire and The Humber","HM Land Registry","50","50","[c]","[c]"
"New entrant CS","2021","Yorkshire and The Humber","HM Prison and Probation Service","540","520","22390","22850"
"New entrant CS","2021","Yorkshire and The Humber","HM Revenue and Customs (excl. agencies)","460","450","23690","20140"
"New entrant CS","2021","Yorkshire and The Humber","Home Office (incl. agencies)","290","280","25970","21430"
"New entrant CS","2021","Yorkshire and The Humber","Insolvency Service","[c]","[c]","[c]","[c]"
