"Status","Year","Responsibility_level","Ethnicity","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","SCS","Mixed","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Mixed","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Other ethnicity","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Undeclared","Department of Health and Social Care","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Undeclared","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Undeclared","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Cabinet Office","160","160","82080","71380"
"New entrant CS","2021","SCS","Unknown","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Department of Health and Social Care","30","30","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Department of Health and Social Care","70","50","92390","86950"
"New entrant CS","2021","SCS","White","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Ministry of Defence","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Ministry of Justice","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SCS","White","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Cabinet Office","30","30","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Department for Business, Energy and Industrial Strategy","40","40","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Department for Environment, Food and Rural Affairs","40","40","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Department for Transport","40","40","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Department for Work and Pensions","50","50","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Department of Health and Social Care","130","130","34340","32790"
"New entrant CS","2021","SEO/HEO","Asian","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","HM Revenue and Customs","60","50","34130","31810"
"New entrant CS","2021","SEO/HEO","Asian","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Home Office","30","30","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Ministry of Defence","50","50","36950","36750"
"New entrant CS","2021","SEO/HEO","Asian","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Ministry of Justice","60","60","32010","30920"
"New entrant CS","2021","SEO/HEO","Asian","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Asian","Welsh Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Attorney General's Departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Cabinet Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Chancellor's other departments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Department for Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Department for Transport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Department of Health and Social Care","120","110","34980","32790"
"New entrant CS","2021","SEO/HEO","Black","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","HM Treasury","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Ministry of Defence","30","30","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Ministry of Housing, Communities and Local Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Ministry of Justice","40","40","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Office for Standards in Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Other Cabinet Office Agencies","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Scotland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Scottish Government","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","SEO/HEO","Black","Welsh Government","[c]","[c]","[c]","[c]"
