"Status","Year","Age","Function_of_post","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","20-29","Human Resources","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Human Resources","SEO/HEO","100","100","32510","32330"
"Leaver Dept.","2022","20-29","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","AA/AO","30","30","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","AA/AO","860","820","21200","21010"
"Leaver Dept.","2022","20-29","No function","EO","1360","1280","27100","27570"
"Leaver Dept.","2022","20-29","No function","G6/G7","300","260","54120","53600"
"Leaver Dept.","2022","20-29","No function","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","No function","SEO/HEO","2010","1890","33850","32790"
"Leaver Dept.","2022","20-29","No function","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2022","20-29","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Project Delivery","EO","70","70","24880","26160"
"Leaver Dept.","2022","20-29","Project Delivery","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Project Delivery","SEO/HEO","90","90","32780","32200"
"Leaver Dept.","2022","20-29","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Property","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Property","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Security","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","20-29","Unknown","AA/AO","360","350","22110","21680"
"Leaver Dept.","2022","20-29","Unknown","EO","340","320","26960","26350"
"Leaver Dept.","2022","20-29","Unknown","G6/G7","60","50","[c]","[c]"
"Leaver Dept.","2022","20-29","Unknown","SEO/HEO","350","290","36900","36130"
"Leaver Dept.","2022","20-29","Unknown","Unknown","90","50","[c]","[c]"
"Leaver Dept.","2022","30-39","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Analysis","G6/G7","80","50","[c]","[c]"
"Leaver Dept.","2022","30-39","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Analysis","SEO/HEO","70","60","38170","38340"
"Leaver Dept.","2022","30-39","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Commercial","SEO/HEO","100","70","37530","38740"
"Leaver Dept.","2022","30-39","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Communications","G6/G7","50","30","[c]","[c]"
"Leaver Dept.","2022","30-39","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Communications","SEO/HEO","100","90","37560","37280"
"Leaver Dept.","2022","30-39","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Debt","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Digital, Data & Technology","G6/G7","60","50","55800","54700"
"Leaver Dept.","2022","30-39","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Digital, Data & Technology","SEO/HEO","150","130","36340","36410"
"Leaver Dept.","2022","30-39","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Finance","G6/G7","40","30","[c]","[c]"
"Leaver Dept.","2022","30-39","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Finance","SEO/HEO","80","60","36170","35310"
"Leaver Dept.","2022","30-39","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Grants Management","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Human Resources","EO","50","50","[c]","[c]"
"Leaver Dept.","2022","30-39","Human Resources","G6/G7","50","50","[c]","[c]"
"Leaver Dept.","2022","30-39","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Human Resources","SEO/HEO","80","80","34520","33280"
"Leaver Dept.","2022","30-39","Internal Audit","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Internal Audit","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Legal","G6/G7","50","40","[c]","[c]"
"Leaver Dept.","2022","30-39","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","No function","AA/AO","500","450","21390","21260"
"Leaver Dept.","2022","30-39","No function","EO","890","840","27220","27570"
"Leaver Dept.","2022","30-39","No function","G6/G7","940","870","56580","54650"
"Leaver Dept.","2022","30-39","No function","SCS","110","90","82580","77930"
"Leaver Dept.","2022","30-39","No function","SEO/HEO","1610","1530","35690","35590"
"Leaver Dept.","2022","30-39","No function","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2022","30-39","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Project Delivery","G6/G7","50","50","[c]","[c]"
"Leaver Dept.","2022","30-39","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Project Delivery","SEO/HEO","110","100","36070","36740"
"Leaver Dept.","2022","30-39","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Property","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Security","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Security","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Unknown","AA/AO","240","220","22070","21680"
"Leaver Dept.","2022","30-39","Unknown","EO","340","320","26320","25220"
"Leaver Dept.","2022","30-39","Unknown","G6/G7","210","150","60700","57680"
"Leaver Dept.","2022","30-39","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","30-39","Unknown","SEO/HEO","400","340","38370","37660"
"Leaver Dept.","2022","30-39","Unknown","Unknown","40","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Analysis","G6/G7","50","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Commercial","G6/G7","50","40","[c]","[c]"
"Leaver Dept.","2022","40-49","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Commercial","SEO/HEO","40","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Commercial","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Communications","G6/G7","50","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Communications","SEO/HEO","40","40","[c]","[c]"
"Leaver Dept.","2022","40-49","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Debt","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Debt","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Debt","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Digital, Data & Technology","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Digital, Data & Technology","G6/G7","80","70","59190","57960"
"Leaver Dept.","2022","40-49","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Digital, Data & Technology","SEO/HEO","110","90","38120","37910"
"Leaver Dept.","2022","40-49","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Finance","G6/G7","50","40","[c]","[c]"
"Leaver Dept.","2022","40-49","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Finance","SEO/HEO","90","70","37240","36920"
"Leaver Dept.","2022","40-49","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Human Resources","EO","40","30","[c]","[c]"
"Leaver Dept.","2022","40-49","Human Resources","G6/G7","50","50","[c]","[c]"
"Leaver Dept.","2022","40-49","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Human Resources","SEO/HEO","60","60","37340","37050"
"Leaver Dept.","2022","40-49","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Legal","G6/G7","40","30","[c]","[c]"
"Leaver Dept.","2022","40-49","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","No function","AA/AO","350","310","21390","21260"
"Leaver Dept.","2022","40-49","No function","EO","610","570","27310","27570"
"Leaver Dept.","2022","40-49","No function","G6/G7","900","800","57950","54760"
"Leaver Dept.","2022","40-49","No function","SCS","210","190","92230","93570"
"Leaver Dept.","2022","40-49","No function","SEO/HEO","1040","930","36580","36740"
"Leaver Dept.","2022","40-49","No function","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2022","40-49","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Project Delivery","G6/G7","70","70","58350","57440"
"Leaver Dept.","2022","40-49","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Project Delivery","SEO/HEO","80","80","36620","36840"
"Leaver Dept.","2022","40-49","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Property","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Security","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Security","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Security","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Unknown","AA/AO","160","140","[c]","[c]"
"Leaver Dept.","2022","40-49","Unknown","EO","180","170","26790","26670"
"Leaver Dept.","2022","40-49","Unknown","G6/G7","170","130","61680","60830"
"Leaver Dept.","2022","40-49","Unknown","SCS","40","[c]","[c]","[c]"
"Leaver Dept.","2022","40-49","Unknown","SEO/HEO","210","200","37630","37010"
"Leaver Dept.","2022","40-49","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Analysis","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Analysis","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Analysis","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Commercial","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Commercial","G6/G7","40","30","[c]","[c]"
"Leaver Dept.","2022","50-59","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Commercial","SEO/HEO","40","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Communications","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Communications","G6/G7","30","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Counter Fraud","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Counter Fraud","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Counter Fraud","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Debt","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Debt","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Digital, Data & Technology","G6/G7","40","30","[c]","[c]"
"Leaver Dept.","2022","50-59","Digital, Data & Technology","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Digital, Data & Technology","SEO/HEO","60","50","[c]","[c]"
"Leaver Dept.","2022","50-59","Finance","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Finance","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Finance","G6/G7","30","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Finance","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Finance","SEO/HEO","60","40","[c]","[c]"
"Leaver Dept.","2022","50-59","Grants Management","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Grants Management","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Grants Management","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Human Resources","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Human Resources","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Human Resources","G6/G7","40","30","[c]","[c]"
"Leaver Dept.","2022","50-59","Human Resources","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Human Resources","SEO/HEO","50","50","[c]","[c]"
"Leaver Dept.","2022","50-59","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Internal Audit","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Internal Audit","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Legal","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Legal","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Legal","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Legal","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Legal","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","No function","AA/AO","270","240","21390","21260"
"Leaver Dept.","2022","50-59","No function","EO","440","410","27340","27570"
"Leaver Dept.","2022","50-59","No function","G6/G7","680","610","59100","55930"
"Leaver Dept.","2022","50-59","No function","SCS","210","180","109320","108080"
"Leaver Dept.","2022","50-59","No function","SEO/HEO","720","640","36690","36330"
"Leaver Dept.","2022","50-59","No function","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Project Delivery","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Project Delivery","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Project Delivery","G6/G7","30","30","[c]","[c]"
"Leaver Dept.","2022","50-59","Project Delivery","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Project Delivery","SEO/HEO","70","70","37510","37370"
"Leaver Dept.","2022","50-59","Property","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Property","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Property","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Property","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Property","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Security","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Security","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Security","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Security","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Unknown","AA/AO","120","110","[c]","[c]"
"Leaver Dept.","2022","50-59","Unknown","EO","120","120","27270","27370"
"Leaver Dept.","2022","50-59","Unknown","G6/G7","80","70","[c]","[c]"
"Leaver Dept.","2022","50-59","Unknown","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","50-59","Unknown","SEO/HEO","120","100","36710","35720"
"Leaver Dept.","2022","50-59","Unknown","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Analysis","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Analysis","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Commercial","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Commercial","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Commercial","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Commercial","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Communications","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Communications","G6/G7","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Communications","SCS","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Communications","SEO/HEO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Counter Fraud","AA/AO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Digital, Data & Technology","EO","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","60-64","Digital, Data & Technology","G6/G7","[c]","[c]","[c]","[c]"
