"Status","Year","Profession_of_post","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Communications","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Defence Science and Technology Laboratory","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for Digital, Culture, Media and Sport","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for Education (excl. agencies)","Communications","60","50","31180","28500"
"New entrant CS","2021","Communications","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","Communications","40","40","[c]","[c]"
"New entrant CS","2021","Communications","Department for International Trade","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for International Trade","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department for Transport (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Department of Health and Social Care (excl. agencies)","Communications","50","50","40450","27270"
"New entrant CS","2021","Communications","Driver and Vehicle Licensing Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Driver and Vehicle Standards Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Government Internal Audit Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Government Legal Department","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","HM Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","HM Revenue and Customs (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","HM Treasury (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","HM Treasury (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Insolvency Service","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Maritime and Coastguard Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Medicines and Healthcare Products Regulatory Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Met Office","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Ministry of Defence (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","Communications","30","30","[c]","[c]"
"New entrant CS","2021","Communications","Ministry of Justice (excl. agencies)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Ministry of Justice (excl. agencies)","Human Resources","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Ministry of Justice (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","National Crime Agency","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","National Savings and Investments","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Northern Ireland Office","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Office for Standards in Education, Children's Services and Skills","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Office of Gas and Electricity Markets","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Office of Qualifications and Examinations Regulation","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Office of Qualifications and Examinations Regulation","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Office of Rail and Road","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Planning Inspectorate","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Public Health England","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Registers of Scotland","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Scottish Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","The National Archives","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","UK Export Finance","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","UK Hydrographic Office","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","UK Supreme Court","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","United Kingdom Statistics Authority","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Wales Office","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Water Services Regulation Authority","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Welsh Government (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Communications","Welsh Revenue Authority","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Corporate Finance","Centre for Environment, Fisheries and Aquaculture Science","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Corporate Finance","Department for Transport (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Corporate Finance","Office of Gas and Electricity Markets","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Corporate Finance","Serious Fraud Office","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Corporate Finance","Water Services Regulation Authority","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Department for Digital, Culture, Media and Sport","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Driver and Vehicle Licensing Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Government Internal Audit Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Home Office (incl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Insolvency Service","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Serious Fraud Office","Counter Fraud","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Counter Fraud","Serious Fraud Office","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Advisory, Conciliation and Arbitration Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Cabinet Office (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Charity Commission","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Companies House","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Competition and Markets Authority","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Competition and Markets Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Criminal Injuries Compensation Authority","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Crown Commercial Service","Digital, Data & Technology","40","40","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Crown Office and Procurator Fiscal Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Crown Prosecution Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Debt Management Office","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Defence Equipment and Support","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Defence Equipment and Support","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Defence Equipment and Support","Project Delivery","50","50","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Defence Equipment and Support","Property","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Defence Science and Technology Laboratory","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Defence Science and Technology Laboratory","Communications","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Department for Business, Energy and Industrial Strategy (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Department for Digital, Culture, Media and Sport","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Department for Education (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Department for Education (excl. agencies)","Digital, Data & Technology","60","60","40000","36500"
"New entrant CS","2021","Digital, Data and Technology","Department for Education (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Department for Education (excl. agencies)","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Department for Environment, Food and Rural Affairs (excl. agencies)","Digital, Data & Technology","140","140","39630","35900"
"New entrant CS","2021","Digital, Data and Technology","Department for International Trade","Digital, Data & Technology","50","50","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Department for Transport (excl. agencies)","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Department for Transport (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Department for Transport (excl. agencies)","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Department of Health and Social Care (excl. agencies)","Digital, Data & Technology","50","50","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Driver and Vehicle Licensing Agency","Analysis","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Driver and Vehicle Licensing Agency","Digital, Data & Technology","50","50","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Driver and Vehicle Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Education and Skills Funding Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Education and Skills Funding Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Government Internal Audit Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Government Property Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Health and Safety Executive","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","HM Courts and Tribunals Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","HM Courts and Tribunals Service","Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","HM Courts and Tribunals Service","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","HM Courts and Tribunals Service","Project Delivery","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","HM Land Registry","Digital, Data & Technology","100","100","31780","27130"
"New entrant CS","2021","Digital, Data and Technology","HM Revenue and Customs (excl. agencies)","Digital, Data & Technology","230","220","37010","31810"
"New entrant CS","2021","Digital, Data and Technology","HM Treasury (excl. agencies)","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Home Office (incl. agencies)","Unknown","170","170","50770","48210"
"New entrant CS","2021","Digital, Data and Technology","Insolvency Service","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Institute for Apprenticeships and Technical Education","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Institute for Apprenticeships and Technical Education","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Legal Aid Agency","No function","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Maritime and Coastguard Agency","Digital, Data & Technology","50","50","[c]","[c]"
"New entrant CS","2021","Digital, Data and Technology","Medicines and Healthcare Products Regulatory Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
