"Status","Year","Responsibility_level","Sexual_orientation","Parent_department","Headcount","FTE","Mean_salary","Median_salary"
"In post","2022","G6/G7","LGBO","Scottish Government","160","150","62190","62170"
"In post","2022","G6/G7","LGBO","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","LGBO","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","LGBO","UK Statistics Authority","50","40","[c]","[c]"
"In post","2022","G6/G7","LGBO","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","LGBO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","LGBO","Welsh Government","50","50","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Attorney General's Departments","220","200","59110","55670"
"In post","2022","G6/G7","Undeclared","Cabinet Office","230","220","58210","56340"
"In post","2022","G6/G7","Undeclared","Chancellor's other departments","40","40","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Competition and Markets Authority","40","40","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Department for Business, Energy and Industrial Strategy","440","420","57770","56810"
"In post","2022","G6/G7","Undeclared","Department for Digital, Culture, Media and Sport","60","60","55800","53260"
"In post","2022","G6/G7","Undeclared","Department for Education","240","240","55980","53420"
"In post","2022","G6/G7","Undeclared","Department for Environment, Food and Rural Affairs","220","210","54240","53200"
"In post","2022","G6/G7","Undeclared","Department for International Trade","70","70","56130","53170"
"In post","2022","G6/G7","Undeclared","Department for Levelling Up, Housing and Communities","120","110","56140","53870"
"In post","2022","G6/G7","Undeclared","Department for Transport","230","220","61790","58150"
"In post","2022","G6/G7","Undeclared","Department for Work and Pensions","320","310","59390","57510"
"In post","2022","G6/G7","Undeclared","Department of Health and Social Care","840","810","57830","53360"
"In post","2022","G6/G7","Undeclared","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Foreign, Commonwealth and Development Office","250","240","60900","60030"
"In post","2022","G6/G7","Undeclared","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","HM Revenue and Customs","730","690","60550","57150"
"In post","2022","G6/G7","Undeclared","HM Treasury","120","120","57850","55530"
"In post","2022","G6/G7","Undeclared","Home Office","420","410","61050","57740"
"In post","2022","G6/G7","Undeclared","Ministry of Defence","610","590","59690","56870"
"In post","2022","G6/G7","Undeclared","Ministry of Justice","330","320","62650","60500"
"In post","2022","G6/G7","Undeclared","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Office for Standards in Education, Children's Services and Skills","30","30","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Office of Gas and Electricity Markets","30","30","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Scottish Government","180","170","63990","62170"
"In post","2022","G6/G7","Undeclared","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","UK Statistics Authority","40","40","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Undeclared","Welsh Government","150","140","62620","61440"
"In post","2022","G6/G7","Unknown","Attorney General's Departments","1140","1020","60360","59380"
"In post","2022","G6/G7","Unknown","Cabinet Office","1520","1500","63010","61710"
"In post","2022","G6/G7","Unknown","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Department for Business, Energy and Industrial Strategy","370","360","58510","57850"
"In post","2022","G6/G7","Unknown","Department for Digital, Culture, Media and Sport","70","70","57120","54990"
"In post","2022","G6/G7","Unknown","Department for Education","460","440","56140","53680"
"In post","2022","G6/G7","Unknown","Department for Environment, Food and Rural Affairs","420","400","54420","52740"
"In post","2022","G6/G7","Unknown","Department for International Trade","300","300","56340","53360"
"In post","2022","G6/G7","Unknown","Department for Levelling Up, Housing and Communities","190","180","57640","54700"
"In post","2022","G6/G7","Unknown","Department for Transport","260","260","60120","55100"
"In post","2022","G6/G7","Unknown","Department for Work and Pensions","660","640","57620","55230"
"In post","2022","G6/G7","Unknown","Department of Health and Social Care","780","760","59030","55170"
"In post","2022","G6/G7","Unknown","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Foreign, Commonwealth and Development Office","690","670","57620","55620"
"In post","2022","G6/G7","Unknown","HM Land Registry","50","50","61390","60520"
"In post","2022","G6/G7","Unknown","HM Revenue and Customs","1620","1560","60160","58440"
"In post","2022","G6/G7","Unknown","HM Treasury","80","80","68570","65000"
"In post","2022","G6/G7","Unknown","Home Office","500","500","60140","57430"
"In post","2022","G6/G7","Unknown","Ministry of Defence","1860","1760","55000","52180"
"In post","2022","G6/G7","Unknown","Ministry of Justice","390","380","61460","59110"
"In post","2022","G6/G7","Unknown","National Crime Agency","50","50","63200","60990"
"In post","2022","G6/G7","Unknown","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Office of Gas and Electricity Markets","200","200","59570","59020"
"In post","2022","G6/G7","Unknown","Office of Qualifications and Examinations Regulation","30","30","[c]","[c]"
"In post","2022","G6/G7","Unknown","Office of Rail and Road","40","40","[c]","[c]"
"In post","2022","G6/G7","Unknown","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Scottish Government","860","820","62640","62170"
"In post","2022","G6/G7","Unknown","The National Archives","30","30","[c]","[c]"
"In post","2022","G6/G7","Unknown","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","UK Statistics Authority","230","230","54000","51210"
"In post","2022","G6/G7","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","G6/G7","Unknown","Welsh Government","50","50","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Attorney General's Departments","210","200","88230","82540"
"In post","2022","SCS","Heterosexual / straight","Cabinet Office","440","430","97110","87780"
"In post","2022","SCS","Heterosexual / straight","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Competition and Markets Authority","110","100","105850","99310"
"In post","2022","SCS","Heterosexual / straight","Department for Business, Energy and Industrial Strategy","320","310","88610","82480"
"In post","2022","SCS","Heterosexual / straight","Department for Digital, Culture, Media and Sport","100","100","83980","75600"
"In post","2022","SCS","Heterosexual / straight","Department for Education","230","220","82280","74100"
"In post","2022","SCS","Heterosexual / straight","Department for Environment, Food and Rural Affairs","170","160","83360","77450"
"In post","2022","SCS","Heterosexual / straight","Department for International Trade","120","120","87490","77000"
"In post","2022","SCS","Heterosexual / straight","Department for Levelling Up, Housing and Communities","130","130","85030","76930"
"In post","2022","SCS","Heterosexual / straight","Department for Transport","200","190","88780","79950"
"In post","2022","SCS","Heterosexual / straight","Department for Work and Pensions","230","220","88740","81530"
"In post","2022","SCS","Heterosexual / straight","Department of Health and Social Care","450","420","95330","93000"
"In post","2022","SCS","Heterosexual / straight","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Foreign, Commonwealth and Development Office","420","410","86550","77970"
"In post","2022","SCS","Heterosexual / straight","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","HM Revenue and Customs","370","360","84440","78760"
"In post","2022","SCS","Heterosexual / straight","HM Treasury","160","150","87140","78000"
"In post","2022","SCS","Heterosexual / straight","Home Office","240","240","89600","82710"
"In post","2022","SCS","Heterosexual / straight","Ministry of Defence","370","360","92750","86700"
"In post","2022","SCS","Heterosexual / straight","Ministry of Justice","250","240","89520","85100"
"In post","2022","SCS","Heterosexual / straight","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Office of the Secretary of State for Scotland","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Scottish Government","190","180","88000","83230"
"In post","2022","SCS","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","UK Statistics Authority","60","60","83470","76790"
"In post","2022","SCS","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","Heterosexual / straight","Welsh Government","150","140","87590","80220"
"In post","2022","SCS","LGBO","Attorney General's Departments","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Cabinet Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Chancellor's other departments","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Department for Business, Energy and Industrial Strategy","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Department for Education","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Department for Environment, Food and Rural Affairs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Department for Levelling Up, Housing and Communities","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Department for Transport","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Department for Work and Pensions","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Department of Health and Social Care","30","30","[c]","[c]"
"In post","2022","SCS","LGBO","Estyn","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Foreign, Commonwealth and Development Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","HM Revenue and Customs","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","HM Treasury","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Home Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Ministry of Defence","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Ministry of Justice","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","National Crime Agency","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"In post","2022","SCS","LGBO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
