"Status","Year","Organisation","Profession_of_post","Disability","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Government Property Agency","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Other","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Property","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Property","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Unknown","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Unknown","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Government Property Agency","Unknown","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Digital, Data and Technology","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Economics","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Economics","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Knowledge and Information Management","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Knowledge and Information Management","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Operational Delivery","Declared non-disabled","120","120","34300","31660"
"New entrant CS","2022","Health and Safety Executive","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Operational Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Project Delivery","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Science and Engineering","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Science and Engineering","Declared non-disabled","60","50","27330","26370"
"New entrant CS","2022","Health and Safety Executive","Science and Engineering","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Health and Safety Executive","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Communications","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Digital, Data and Technology","Declared non-disabled","40","40","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Digital, Data and Technology","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Legal","Declared non-disabled","40","40","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Legal","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Legal","Unknown","60","60","33500","34260"
"New entrant CS","2022","HM Courts and Tribunals Service","Operational Delivery","Declared disabled","130","130","22450","20970"
"New entrant CS","2022","HM Courts and Tribunals Service","Operational Delivery","Declared non-disabled","760","730","22920","20970"
"New entrant CS","2022","HM Courts and Tribunals Service","Operational Delivery","Undeclared","50","50","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Operational Delivery","Unknown","750","720","22610","20970"
"New entrant CS","2022","HM Courts and Tribunals Service","Policy","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Policy","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Policy","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Property","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Property","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Property","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Statistics","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Courts and Tribunals Service","Statistics","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Crown Prosecution Service Inspectorate","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Crown Prosecution Service Inspectorate","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Crown Prosecution Service Inspectorate","Other","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Crown Prosecution Service Inspectorate","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Digital, Data and Technology","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Digital, Data and Technology","Declared non-disabled","30","30","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Digital, Data and Technology","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Digital, Data and Technology","Unknown","50","50","30750","30600"
"New entrant CS","2022","HM Land Registry","Finance","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Finance","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Finance","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Human Resources","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Internal Audit","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Internal Audit","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Internal Audit","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Legal","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Legal","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Legal","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Operational Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Operational Delivery","Declared non-disabled","130","130","24540","22600"
"New entrant CS","2022","HM Land Registry","Operational Delivery","Undeclared","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Operational Delivery","Unknown","180","180","24650","22600"
"New entrant CS","2022","HM Land Registry","Other","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Other","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Other","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Project Delivery","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Project Delivery","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Land Registry","Project Delivery","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Prison and Probation Service","Commercial","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Prison and Probation Service","Commercial","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Prison and Probation Service","Commercial","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Prison and Probation Service","Communications","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Prison and Probation Service","Communications","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Prison and Probation Service","Communications","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Prison and Probation Service","Human Resources","Declared disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Prison and Probation Service","Human Resources","Declared non-disabled","[c]","[c]","[c]","[c]"
"New entrant CS","2022","HM Prison and Probation Service","Human Resources","Undeclared","[c]","[c]","[c]","[c]"
