"Status","Year","Responsibility_level","Organisation","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"In post","2021","G6/G7","Department of Health and Social Care (excl. agencies)","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Department of Health and Social Care (excl. agencies)","Unknown","40","40","[c]","[c]"
"In post","2021","G6/G7","Disclosure Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Licensing Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Licensing Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Licensing Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Licensing Agency","Digital, Data & Technology","130","130","63090","61290"
"In post","2021","G6/G7","Driver and Vehicle Licensing Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Licensing Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Licensing Agency","No function","80","70","74120","83320"
"In post","2021","G6/G7","Driver and Vehicle Licensing Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Licensing Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Licensing Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Standards Agency","No function","30","30","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Standards Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Driver and Vehicle Standards Agency","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Education and Skills Funding Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Education and Skills Funding Agency","Communications","30","30","[c]","[c]"
"In post","2021","G6/G7","Education and Skills Funding Agency","Digital, Data & Technology","60","60","52990","50630"
"In post","2021","G6/G7","Education and Skills Funding Agency","Finance","60","60","55390","51890"
"In post","2021","G6/G7","Education and Skills Funding Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Education and Skills Funding Agency","No function","420","410","55640","52340"
"In post","2021","G6/G7","Education and Skills Funding Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Education and Skills Funding Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Education Scotland","Unknown","190","180","68400","71160"
"In post","2021","G6/G7","ESTYN","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","ESTYN","No function","70","60","74270","74730"
"In post","2021","G6/G7","ESTYN","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","FCDO Services","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","FCDO Services","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","FCDO Services","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","FCDO Services","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","FCDO Services","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","FCDO Services","Legal","50","20","[c]","[c]"
"In post","2021","G6/G7","FCDO Services","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","FCDO Services","Property","60","60","61240","60300"
"In post","2021","G6/G7","FCDO Services","Security","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","FCDO Services","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Food Standards Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Food Standards Agency","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Food Standards Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Food Standards Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Food Standards Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Food Standards Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Food Standards Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Food Standards Agency","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Food Standards Agency","Legal","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Food Standards Agency","No function","120","120","55980","56130"
"In post","2021","G6/G7","Food Standards Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Food Standards Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Food Standards Scotland","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","Analysis","40","30","[c]","[c]"
"In post","2021","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","Communications","40","40","[c]","[c]"
"In post","2021","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","Digital, Data & Technology","50","50","53650","51960"
"In post","2021","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","Finance","80","80","56660","57000"
"In post","2021","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","Human Resources","80","80","59280","57400"
"In post","2021","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","Legal","50","40","[c]","[c]"
"In post","2021","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","No function","1200","1180","60070","58470"
"In post","2021","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","Project Delivery","1260","1220","58290","56610"
"In post","2021","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","Property","40","40","[c]","[c]"
"In post","2021","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","Security","80","80","61440","59650"
"In post","2021","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","Unknown","100","100","61220","59470"
"In post","2021","G6/G7","Forestry and Land Scotland","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Forestry and Land Scotland","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Forestry and Land Scotland","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Forestry and Land Scotland","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Forestry and Land Scotland","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Forestry and Land Scotland","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Actuary's Department","Analysis","110","90","87900","83030"
"In post","2021","G6/G7","Government Actuary's Department","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Actuary's Department","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Actuary's Department","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Actuary's Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Actuary's Department","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Internal Audit Agency","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Internal Audit Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Internal Audit Agency","Counter Fraud","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Internal Audit Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Internal Audit Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Internal Audit Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Internal Audit Agency","Internal Audit","140","130","57810","56400"
"In post","2021","G6/G7","Government Internal Audit Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Internal Audit Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Legal Department","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Legal Department","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Legal Department","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Legal Department","Legal","1640","1490","59720","59840"
"In post","2021","G6/G7","Government Legal Department","No function","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Legal Department","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Legal Department","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Property Agency","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Property Agency","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Property Agency","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Property Agency","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Property Agency","No function","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Property Agency","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Property Agency","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Government Property Agency","Unknown","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Health and Safety Executive","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Health and Safety Executive","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Health and Safety Executive","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Health and Safety Executive","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Health and Safety Executive","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Health and Safety Executive","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Health and Safety Executive","Legal","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Health and Safety Executive","No function","410","390","61720","59150"
"In post","2021","G6/G7","Health and Safety Executive","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","Health and Safety Executive","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Courts and Tribunals Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Courts and Tribunals Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Courts and Tribunals Service","Digital, Data & Technology","40","40","[c]","[c]"
"In post","2021","G6/G7","HM Courts and Tribunals Service","Finance","50","50","58240","58130"
"In post","2021","G6/G7","HM Courts and Tribunals Service","Human Resources","30","30","[c]","[c]"
"In post","2021","G6/G7","HM Courts and Tribunals Service","Legal","200","190","58950","57330"
"In post","2021","G6/G7","HM Courts and Tribunals Service","No function","220","210","53330","52120"
"In post","2021","G6/G7","HM Courts and Tribunals Service","Project Delivery","100","100","54910","52850"
"In post","2021","G6/G7","HM Courts and Tribunals Service","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Land Registry","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Land Registry","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Land Registry","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Land Registry","Digital, Data & Technology","50","50","[c]","[c]"
"In post","2021","G6/G7","HM Land Registry","Finance","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Land Registry","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Land Registry","Legal","140","130","64300","65970"
"In post","2021","G6/G7","HM Land Registry","No function","40","40","[c]","[c]"
"In post","2021","G6/G7","HM Land Registry","Project Delivery","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Land Registry","Property","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Prison and Probation Service","Analysis","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Prison and Probation Service","Commercial","150","150","72600","70740"
"In post","2021","G6/G7","HM Prison and Probation Service","Communications","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Prison and Probation Service","Human Resources","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Prison and Probation Service","Internal Audit","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Prison and Probation Service","No function","560","540","73570","69910"
"In post","2021","G6/G7","HM Prison and Probation Service","Security","30","30","[c]","[c]"
"In post","2021","G6/G7","HM Revenue and Customs (excl. agencies)","Analysis","220","210","57210","59160"
"In post","2021","G6/G7","HM Revenue and Customs (excl. agencies)","Commercial","[c]","[c]","[c]","[c]"
"In post","2021","G6/G7","HM Revenue and Customs (excl. agencies)","Communications","170","160","56010","52580"
"In post","2021","G6/G7","HM Revenue and Customs (excl. agencies)","Counter Fraud","940","900","56880","52770"
"In post","2021","G6/G7","HM Revenue and Customs (excl. agencies)","Debt","40","40","[c]","[c]"
