"Status","Year","Ethnicity","Responsibility_level","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Mixed","G6/G7","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Public Health England","40","40","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","G6/G7","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SCS","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Attorney General's Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Companies House","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Met Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Public Health England","70","60","36360","36820"
"Leaver Dept.","2022","Mixed","SEO/HEO","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","The National Archives","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","UK Health Security Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","SEO/HEO","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Unknown","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Unknown","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Unknown","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Unknown","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Unknown","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Unknown","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Mixed","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
