"Status","Year","Sex","Parent_department","Responsibility_level","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","Male","Office of Rail and Road","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Office of Rail and Road","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Office of Rail and Road","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Other Cabinet Office Agencies","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Other Cabinet Office Agencies","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Other Cabinet Office Agencies","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Other Cabinet Office Agencies","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Other Cabinet Office Agencies","SEO/HEO","60","60","34000","34800"
"New entrant CS","2021","Male","Scotland Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Scotland Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Scotland Office","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Scotland Office","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Scotland Office","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Scottish Government","AA/AO","410","400","21290","20810"
"New entrant CS","2021","Male","Scottish Government","EO","130","130","26690","26160"
"New entrant CS","2021","Male","Scottish Government","G6/G7","90","90","57090","56120"
"New entrant CS","2021","Male","Scottish Government","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Scottish Government","SEO/HEO","240","240","35720","35400"
"New entrant CS","2021","Male","The National Archives","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","The National Archives","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","The National Archives","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","The National Archives","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","The National Archives","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","UK Export Finance","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","UK Export Finance","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","UK Export Finance","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","UK Export Finance","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","UK Export Finance","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","UK Supreme Court","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","UK Supreme Court","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","UK Supreme Court","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","UK Supreme Court","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","United Kingdom Statistics Authority","AA/AO","70","70","19580","19130"
"New entrant CS","2021","Male","United Kingdom Statistics Authority","EO","70","70","23590","23050"
"New entrant CS","2021","Male","United Kingdom Statistics Authority","G6/G7","50","50","53000","52100"
"New entrant CS","2021","Male","United Kingdom Statistics Authority","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","United Kingdom Statistics Authority","SEO/HEO","250","250","32940","32540"
"New entrant CS","2021","Male","Wales Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Wales Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Wales Office","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Wales Office","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Water Services Regulation Authority","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Water Services Regulation Authority","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Water Services Regulation Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Welsh Government","AA/AO","40","40","[c]","[c]"
"New entrant CS","2021","Male","Welsh Government","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Welsh Government","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Male","Welsh Government","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Education","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Education","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department for Education","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department of Health and Social Care","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department of Health and Social Care","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department of Health and Social Care","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department of Health and Social Care","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","Department of Health and Social Care","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","United Kingdom Statistics Authority","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","United Kingdom Statistics Authority","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","United Kingdom Statistics Authority","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Unknown","United Kingdom Statistics Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Attorney General's Departments","AA/AO","250","250","21460","21250"
"New entrant CS","2022","Female","Attorney General's Departments","EO","190","180","26780","26950"
"New entrant CS","2022","Female","Attorney General's Departments","G6/G7","190","170","52510","50500"
"New entrant CS","2022","Female","Attorney General's Departments","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Attorney General's Departments","SEO/HEO","120","120","38740","38180"
"New entrant CS","2022","Female","Cabinet Office","AA/AO","90","90","20710","21050"
"New entrant CS","2022","Female","Cabinet Office","EO","160","160","25790","25520"
"New entrant CS","2022","Female","Cabinet Office","G6/G7","200","200","59960","56520"
"New entrant CS","2022","Female","Cabinet Office","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Cabinet Office","SEO/HEO","590","590","30960","28000"
"New entrant CS","2022","Female","Chancellor's other departments","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Chancellor's other departments","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Chancellor's other departments","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Chancellor's other departments","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Charity Commission","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Charity Commission","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Charity Commission","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Charity Commission","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Competition and Markets Authority","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Competition and Markets Authority","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Competition and Markets Authority","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Competition and Markets Authority","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Competition and Markets Authority","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for Business, Energy and Industrial Strategy","AA/AO","200","190","20720","20910"
"New entrant CS","2022","Female","Department for Business, Energy and Industrial Strategy","EO","170","170","26350","26200"
"New entrant CS","2022","Female","Department for Business, Energy and Industrial Strategy","G6/G7","90","90","54440","53380"
"New entrant CS","2022","Female","Department for Business, Energy and Industrial Strategy","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for Business, Energy and Industrial Strategy","SEO/HEO","310","300","36090","33570"
"New entrant CS","2022","Female","Department for Digital, Culture, Media and Sport","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for Digital, Culture, Media and Sport","EO","60","60","26000","26180"
"New entrant CS","2022","Female","Department for Digital, Culture, Media and Sport","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for Digital, Culture, Media and Sport","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for Digital, Culture, Media and Sport","SEO/HEO","130","130","34360","34020"
"New entrant CS","2022","Female","Department for Education","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for Education","EO","210","210","25620","25000"
"New entrant CS","2022","Female","Department for Education","G6/G7","100","90","52780","49960"
"New entrant CS","2022","Female","Department for Education","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for Education","SEO/HEO","340","330","34220","36500"
"New entrant CS","2022","Female","Department for Environment, Food and Rural Affairs","AA/AO","460","430","21600","21300"
"New entrant CS","2022","Female","Department for Environment, Food and Rural Affairs","EO","270","260","25690","24920"
"New entrant CS","2022","Female","Department for Environment, Food and Rural Affairs","G6/G7","220","210","52130","52290"
"New entrant CS","2022","Female","Department for Environment, Food and Rural Affairs","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for Environment, Food and Rural Affairs","SEO/HEO","710","690","33890","32560"
"New entrant CS","2022","Female","Department for Environment, Food and Rural Affairs","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for International Trade","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for International Trade","EO","90","90","25960","26250"
"New entrant CS","2022","Female","Department for International Trade","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for International Trade","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for International Trade","SEO/HEO","110","100","33620","31800"
"New entrant CS","2022","Female","Department for Levelling Up, Housing and Communities","AA/AO","30","30","[c]","[c]"
"New entrant CS","2022","Female","Department for Levelling Up, Housing and Communities","EO","80","80","26870","27850"
"New entrant CS","2022","Female","Department for Levelling Up, Housing and Communities","G6/G7","70","70","51500","53130"
"New entrant CS","2022","Female","Department for Levelling Up, Housing and Communities","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for Levelling Up, Housing and Communities","SEO/HEO","190","180","34420","33210"
"New entrant CS","2022","Female","Department for Levelling Up, Housing and Communities","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for Transport","AA/AO","470","420","20940","21840"
"New entrant CS","2022","Female","Department for Transport","EO","190","180","26800","26130"
"New entrant CS","2022","Female","Department for Transport","G6/G7","110","110","55260","54110"
"New entrant CS","2022","Female","Department for Transport","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for Transport","SEO/HEO","240","240","36010","34710"
"New entrant CS","2022","Female","Department for Transport","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for Work and Pensions","AA/AO","2690","2610","21630","21260"
"New entrant CS","2022","Female","Department for Work and Pensions","EO","2990","2870","28190","27570"
"New entrant CS","2022","Female","Department for Work and Pensions","G6/G7","80","80","55030","53360"
"New entrant CS","2022","Female","Department for Work and Pensions","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Department for Work and Pensions","SEO/HEO","280","270","35500","35310"
"New entrant CS","2022","Female","Department of Health and Social Care","AA/AO","230","190","21430","19880"
"New entrant CS","2022","Female","Department of Health and Social Care","EO","560","470","25930","26880"
"New entrant CS","2022","Female","Department of Health and Social Care","G6/G7","360","320","56370","53360"
"New entrant CS","2022","Female","Department of Health and Social Care","SCS","60","50","95870","90710"
"New entrant CS","2022","Female","Department of Health and Social Care","SEO/HEO","1000","850","35030","32790"
"New entrant CS","2022","Female","Department of Health and Social Care","Unknown","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Estyn","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Estyn","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Estyn","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Food Standards Agency","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Food Standards Agency","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Food Standards Agency","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Food Standards Agency","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Food Standards Agency","SEO/HEO","100","90","34250","32350"
"New entrant CS","2022","Female","Foreign, Commonwealth and Development Office","AA/AO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Foreign, Commonwealth and Development Office","EO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Foreign, Commonwealth and Development Office","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","Foreign, Commonwealth and Development Office","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","HM Land Registry","AA/AO","190","180","22640","22600"
"New entrant CS","2022","Female","HM Land Registry","EO","80","80","27630","27130"
"New entrant CS","2022","Female","HM Land Registry","G6/G7","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","HM Land Registry","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","HM Land Registry","SEO/HEO","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","HM Revenue and Customs","AA/AO","2330","2200","21340","21250"
"New entrant CS","2022","Female","HM Revenue and Customs","EO","1180","1160","26980","26590"
"New entrant CS","2022","Female","HM Revenue and Customs","G6/G7","90","80","56400","52080"
"New entrant CS","2022","Female","HM Revenue and Customs","SCS","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Female","HM Revenue and Customs","SEO/HEO","790","780","34880","33080"
