"Status","Year","Sexual_orientation","Region_ITL1","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2021","LGBO","South East (England)","Ministry of Defence (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South East (England)","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Department for Work and Pensions (excl. agencies)","100","100","25830","27570"
"New entrant CS","2021","LGBO","South West (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","HM Prison and Probation Service","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Ministry of Defence (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","South West (England)","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Department for Work and Pensions (excl. agencies)","70","60","24740","27570"
"New entrant CS","2021","LGBO","Wales","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","ESTYN","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","United Kingdom Statistics Authority","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Wales Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Wales","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Department for Work and Pensions (excl. agencies)","80","80","25880","27570"
"New entrant CS","2021","LGBO","West Midlands (England)","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","HM Prison and Probation Service","30","30","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Rural Payments Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Valuation Office Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","West Midlands (England)","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Yorkshire and The Humber","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Yorkshire and The Humber","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","LGBO","Yorkshire and The Humber","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
