"Status","Year","Sex","Profession_of_post","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","Male","Security","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Security","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Security","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Security","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Security","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Social Research","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Social Research","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Social Research","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Social Research","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Social Research","Estyn","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Social Research","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Social Research","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Social Research","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Social Research","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Department for Levelling Up, Housing and Communities (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Home Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Public Health England","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","The Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Statistics","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Tax","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Tax","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Cabinet Office (excl. agencies)","800","800","42320","34550"
"Leaver Dept.","2022","Male","Unknown","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Department for Transport (excl. agencies)","160","160","44490","42470"
"Leaver Dept.","2022","Male","Unknown","Department for Work and Pensions (excl. agencies)","90","90","34960","31060"
"Leaver Dept.","2022","Male","Unknown","Department of Health and Social Care (excl. agencies)","100","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Foreign, Commonwealth and Development Office (excl. agencies)","150","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Government Property Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","HM Prison and Probation Service","50","50","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","HM Revenue and Customs (excl. agencies)","620","610","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Veterinarian","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Male","Veterinarian","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Digital, Data and Technology","UK Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","Unknown","Social Research","UK Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Department of Health and Social Care (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","HM Prison and Probation Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Ministry of Defence (excl. agencies)","50","50","28510","26670"
"New entrant CS","2021","Female","Commercial","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Commercial","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Department for Education (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2021","Female","Communications","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Home Office (incl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Ministry of Defence (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Public Health England","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","UK Export Finance","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2021","Female","Communications","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
