"Status","Year","Age","Sexual_orientation","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"Leaver CS","2021","40-49","Unknown","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Ministry of Defence (excl. agencies)","60","50","37450","34100"
"Leaver CS","2021","40-49","Unknown","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","National Crime Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Public Health England","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Valuation Office Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","40-49","Unknown","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Crown Prosecution Service","40","30","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Defence Equipment and Support","70","70","42270","40670"
"Leaver CS","2021","50-59","Heterosexual / straight","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Department for Work and Pensions (excl. agencies)","530","470","27650","26890"
"Leaver CS","2021","50-59","Heterosexual / straight","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","HM Courts and Tribunals Service","180","160","26600","21180"
"Leaver CS","2021","50-59","Heterosexual / straight","HM Land Registry","30","30","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","HM Prison and Probation Service","400","370","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","HM Revenue and Customs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Home Office (incl. agencies)","240","210","33580","27240"
"Leaver CS","2021","50-59","Heterosexual / straight","Insolvency Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Legal Aid Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Met Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Ministry of Defence (excl. agencies)","400","390","33560","30650"
"Leaver CS","2021","50-59","Heterosexual / straight","Ministry of Housing, Communities and Local Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Ministry of Justice (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","National Crime Agency","50","40","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","National Records of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","National Savings and Investments","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Northern Ireland Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Office of Rail and Road","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Office of the Public Guardian","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Planning Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Public Health England","80","70","51560","44500"
"Leaver CS","2021","50-59","Heterosexual / straight","Registers of Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Revenue Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Rural Payments Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Scotland Office (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Scottish Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Scottish Forestry","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Scottish Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Scottish Prison Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Serious Fraud Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Social Security Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Submarine Delivery Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","The National Archives","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Transport Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","UK Export Finance","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","UK Hydrographic Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","UK Intellectual Property Office","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","UK Supreme Court","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","United Kingdom Statistics Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Valuation Office Agency","30","30","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Welsh Government (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","Heterosexual / straight","Wilton Park","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Cabinet Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Charity Commission","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Companies House","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Crown Commercial Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Crown Prosecution Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Defence Electronics and Components Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Department for Business, Energy and Industrial Strategy (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Department for Education (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Department for Environment, Food and Rural Affairs (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Department for International Development","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Department for International Trade","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Department for Work and Pensions (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Department of Health and Social Care (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Disclosure Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Education Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","ESTYN","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","FCDO Services","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Food Standards Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Food Standards Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Foreign and Commonwealth Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Foreign, Commonwealth and Development Office (excl. agencies)","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Forestry and Land Scotland","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Government Actuary's Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Government Legal Department","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","Health and Safety Executive","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","HM Courts and Tribunals Service","[c]","[c]","[c]","[c]"
"Leaver CS","2021","50-59","LGBO","HM Land Registry","[c]","[c]","[c]","[c]"
