"Status","Year","Parent_department","Organisation","Region_ITL1","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Department for Transport","Driver and Vehicle Standards Agency","London","40","40","[c]","[c]"
"New entrant CS","2022","Department for Transport","Driver and Vehicle Standards Agency","North East (England)","70","70","24380","21840"
"New entrant CS","2022","Department for Transport","Driver and Vehicle Standards Agency","North West (England)","50","50","25760","26130"
"New entrant CS","2022","Department for Transport","Driver and Vehicle Standards Agency","Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Transport","Driver and Vehicle Standards Agency","South East (England)","80","70","26840","26130"
"New entrant CS","2022","Department for Transport","Driver and Vehicle Standards Agency","South West (England)","70","70","27180","26130"
"New entrant CS","2022","Department for Transport","Driver and Vehicle Standards Agency","Wales","80","80","25680","26130"
"New entrant CS","2022","Department for Transport","Driver and Vehicle Standards Agency","West Midlands (England)","50","50","25240","26130"
"New entrant CS","2022","Department for Transport","Driver and Vehicle Standards Agency","Yorkshire and The Humber","60","50","23470","21840"
"New entrant CS","2022","Department for Transport","Maritime and Coastguard Agency","East of England","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Transport","Maritime and Coastguard Agency","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Transport","Maritime and Coastguard Agency","North West (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Transport","Maritime and Coastguard Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Transport","Maritime and Coastguard Agency","Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Transport","Maritime and Coastguard Agency","South East (England)","130","130","31420","26840"
"New entrant CS","2022","Department for Transport","Maritime and Coastguard Agency","South West (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Transport","Maritime and Coastguard Agency","Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Transport","Maritime and Coastguard Agency","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Transport","Vehicle Certification Agency","East Midlands (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Transport","Vehicle Certification Agency","South East (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Transport","Vehicle Certification Agency","South West (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","East Midlands (England)","580","570","23910","21260"
"New entrant CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","East of England","570","550","26410","27570"
"New entrant CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","London","1220","1190","31580","31060"
"New entrant CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","North East (England)","1190","1170","25150","21260"
"New entrant CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","North West (England)","2050","2020","25840","21260"
"New entrant CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Scotland","1010","990","24450","21260"
"New entrant CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","South East (England)","610","590","25710","27570"
"New entrant CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","South West (England)","400","390","23320","21260"
"New entrant CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Unknown","90","90","31340","29290"
"New entrant CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Wales","520","510","24560","27570"
"New entrant CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","West Midlands (England)","870","840","25720","27570"
"New entrant CS","2022","Department for Work and Pensions","Department for Work and Pensions (excl. agencies)","Yorkshire and The Humber","1140","1120","27080","27570"
"New entrant CS","2022","Department for Work and Pensions","Health and Safety Executive","East Midlands (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Work and Pensions","Health and Safety Executive","East of England","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Work and Pensions","Health and Safety Executive","London","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Work and Pensions","Health and Safety Executive","North East (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Work and Pensions","Health and Safety Executive","North West (England)","130","130","30030","26370"
"New entrant CS","2022","Department for Work and Pensions","Health and Safety Executive","Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Work and Pensions","Health and Safety Executive","South East (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Work and Pensions","Health and Safety Executive","South West (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Work and Pensions","Health and Safety Executive","Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Work and Pensions","Health and Safety Executive","West Midlands (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department for Work and Pensions","Health and Safety Executive","Yorkshire and The Humber","70","70","30220","26370"
"New entrant CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","East Midlands (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","East of England","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","London","640","450","37440","32790"
"New entrant CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","North East (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","North West (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","South East (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","South West (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","Unknown","50","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","West Midlands (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Department of Health and Social Care (excl. agencies)","Yorkshire and The Humber","210","120","32440","28970"
"New entrant CS","2022","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","East of England","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","London","40","40","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Medicines and Healthcare Products Regulatory Agency","South East (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Public Health England","East Midlands (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Public Health England","East of England","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Public Health England","London","150","120","40740","36330"
"New entrant CS","2022","Department of Health and Social Care","Public Health England","North East (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Public Health England","North West (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Public Health England","South East (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Public Health England","South West (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Public Health England","West Midlands (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","Public Health England","Yorkshire and The Humber","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","UK Health Security Agency","East Midlands (England)","80","70","33660","28780"
"New entrant CS","2022","Department of Health and Social Care","UK Health Security Agency","East of England","110","90","33370","30460"
"New entrant CS","2022","Department of Health and Social Care","UK Health Security Agency","London","980","930","39340","32330"
"New entrant CS","2022","Department of Health and Social Care","UK Health Security Agency","North East (England)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","UK Health Security Agency","North West (England)","90","80","34530","28590"
"New entrant CS","2022","Department of Health and Social Care","UK Health Security Agency","Northern Ireland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","UK Health Security Agency","Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Department of Health and Social Care","UK Health Security Agency","South East (England)","90","80","35380","30460"
"New entrant CS","2022","Department of Health and Social Care","UK Health Security Agency","South West (England)","250","240","30780","28590"
