"Status","Year","Sexual_orientation","Sex","Organisation","Headcount","FTE","Mean_salary","Median_salary"
"New entrant CS","2022","Heterosexual / straight","Male","Health and Safety Executive","110","110","39560","31660"
"New entrant CS","2022","Heterosexual / straight","Male","HM Courts and Tribunals Service","310","310","25290","20970"
"New entrant CS","2022","Heterosexual / straight","Male","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","HM Land Registry","110","110","28510","27130"
"New entrant CS","2022","Heterosexual / straight","Male","HM Prison and Probation Service","3080","3000","27320","24800"
"New entrant CS","2022","Heterosexual / straight","Male","HM Revenue and Customs (excl. agencies)","1950","1930","28340","26590"
"New entrant CS","2022","Heterosexual / straight","Male","HM Treasury (excl. agencies)","100","100","34860","28500"
"New entrant CS","2022","Heterosexual / straight","Male","Home Office","280","270","30770","24880"
"New entrant CS","2022","Heterosexual / straight","Male","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Intellectual Property Office","60","60","31330","30410"
"New entrant CS","2022","Heterosexual / straight","Male","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Maritime and Coastguard Agency","70","70","34770","31130"
"New entrant CS","2022","Heterosexual / straight","Male","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Met Office","90","90","27210","24390"
"New entrant CS","2022","Heterosexual / straight","Male","Ministry of Defence (excl. agencies)","970","960","31060","26350"
"New entrant CS","2022","Heterosexual / straight","Male","Ministry of Justice (excl. agencies)","150","150","40290","36050"
"New entrant CS","2022","Heterosexual / straight","Male","National Crime Agency","220","220","38130","36410"
"New entrant CS","2022","Heterosexual / straight","Male","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Office for Standards in Education, Children's Services and Skills","60","60","51580","51360"
"New entrant CS","2022","Heterosexual / straight","Male","Office of Gas and Electricity Markets","180","180","37330","29040"
"New entrant CS","2022","Heterosexual / straight","Male","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Office of Rail and Road","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Office of the Public Guardian","30","30","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Office of the Scottish Charity Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Office of the Secretary of State for Scotland (incl. Office of the Advocate General for Scotland)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Office of the Secretary of State for Wales","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Planning Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Public Health England","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Queen Elizabeth II Centre","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Registers of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Revenue Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Royal Fleet Auxiliary","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Rural Payments Agency","70","60","22030","21300"
"New entrant CS","2022","Heterosexual / straight","Male","Scottish Courts and Tribunals Service","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Scottish Fiscal Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Scottish Government (excl. agencies)","280","280","34570","31540"
"New entrant CS","2022","Heterosexual / straight","Male","Scottish Housing Regulator","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Scottish Prison Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Scottish Public Pensions Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Serious Fraud Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Social Security Scotland","250","250","27260","27230"
"New entrant CS","2022","Heterosexual / straight","Male","Standards and Testing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Student Awards Agency for Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Submarine Delivery Agency","120","120","36700","33000"
"New entrant CS","2022","Heterosexual / straight","Male","Teaching Regulation Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","The Insolvency Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","The National Archives","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Transport Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","UK Debt Management Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","UK Export Finance","50","50","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","UK Health Security Agency","370","350","35530","30670"
"New entrant CS","2022","Heterosexual / straight","Male","UK Hydrographic Office","40","40","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","UK Space Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","UK Statistics Authority","330","310","30700","30210"
"New entrant CS","2022","Heterosexual / straight","Male","UK Supreme Court","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Valuation Office Agency","90","90","26980","25000"
"New entrant CS","2022","Heterosexual / straight","Male","Vehicle Certification Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Veterinary Medicines Directorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Water Services Regulation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Welsh Government (excl. agencies)","110","100","37150","31210"
"New entrant CS","2022","Heterosexual / straight","Male","Welsh Revenue Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","Heterosexual / straight","Male","Wilton Park","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Accountant in Bankruptcy","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Advisory, Conciliation and Arbitration Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Animal and Plant Health Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Attorney General's Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Cabinet Office (excl. agencies)","50","40","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Centre for Environment, Fisheries and Aquaculture Science","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Charity Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Companies House","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Competition and Markets Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Criminal Injuries Compensation Authority","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Crown Commercial Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Crown Office and Procurator Fiscal Service","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Crown Prosecution Service","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Defence Equipment and Support","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Defence Science and Technology Laboratory","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Department for Business, Energy and Industrial Strategy (excl. agencies)","50","50","35370","33570"
"New entrant CS","2022","LGBO","Female","Department for Digital, Culture, Media and Sport","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Department for Education (excl. agencies)","40","40","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Department for Environment, Food and Rural Affairs (excl. agencies)","90","90","35900","32560"
"New entrant CS","2022","LGBO","Female","Department for International Trade","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Department for Levelling Up, Housing and Communities (excl. agencies)","50","50","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Department for Transport (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Department for Work and Pensions (excl. agencies)","360","350","24970","25110"
"New entrant CS","2022","LGBO","Female","Department of Health and Social Care (excl. agencies)","40","30","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Disclosure Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Driver and Vehicle Licensing Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Driver and Vehicle Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Education and Skills Funding Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Education Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Estyn","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Food Standards Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Food Standards Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Government Actuary's Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Government Internal Audit Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Government Legal Department","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Government Property Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Health and Safety Executive","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","HM Courts and Tribunals Service","60","60","22710","20970"
"New entrant CS","2022","LGBO","Female","HM Crown Prosecution Service Inspectorate","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","HM Land Registry","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","HM Prison and Probation Service","600","590","26350","23630"
"New entrant CS","2022","LGBO","Female","HM Revenue and Customs (excl. agencies)","190","190","26940","26590"
"New entrant CS","2022","LGBO","Female","HM Treasury (excl. agencies)","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Home Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Institute for Apprenticeships and Technical Education","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Intellectual Property Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Legal Aid Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Maritime and Coastguard Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Medicines and Healthcare Products Regulatory Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Met Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Ministry of Defence (excl. agencies)","60","60","27330","26350"
"New entrant CS","2022","LGBO","Female","Ministry of Justice (excl. agencies)","30","30","[c]","[c]"
"New entrant CS","2022","LGBO","Female","National Crime Agency","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","National Infrastructure Commission","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","National Records of Scotland","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","National Savings and Investments","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Northern Ireland Office","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Office for Budget Responsibility","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Office for Standards in Education, Children's Services and Skills","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Office of Gas and Electricity Markets","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Office of Qualifications and Examinations Regulation","[c]","[c]","[c]","[c]"
"New entrant CS","2022","LGBO","Female","Office of Rail and Road","[c]","[c]","[c]","[c]"
