"Status","Year","Responsibility_level","Ethnicity","Function_of_post","Headcount","FTE","Mean_salary","Median_salary"
"Leaver Dept.","2022","AA/AO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","No function","260","250","21360","21130"
"Leaver Dept.","2022","AA/AO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","Unknown","Unknown","250","240","[c]","[c]"
"Leaver Dept.","2022","AA/AO","White","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","White","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","White","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","White","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","White","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","White","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","White","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","White","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","White","Human Resources","50","50","[c]","[c]"
"Leaver Dept.","2022","AA/AO","White","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","White","No function","1270","1170","21150","21260"
"Leaver Dept.","2022","AA/AO","White","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","White","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","White","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","AA/AO","White","Unknown","490","460","21780","21680"
"Leaver Dept.","2022","EO","Asian","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Asian","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Asian","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Asian","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Asian","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Asian","No function","550","530","27610","27570"
"Leaver Dept.","2022","EO","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Asian","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Asian","Unknown","140","130","27470","27570"
"Leaver Dept.","2022","EO","Black","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Black","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Black","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Black","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Black","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Black","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Black","No function","290","270","27880","27570"
"Leaver Dept.","2022","EO","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Black","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Black","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Black","Unknown","40","40","[c]","[c]"
"Leaver Dept.","2022","EO","Mixed","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Mixed","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Mixed","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Mixed","No function","120","110","27580","27570"
"Leaver Dept.","2022","EO","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Mixed","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Mixed","Unknown","30","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","No function","40","40","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","No function","110","110","27140","27570"
"Leaver Dept.","2022","EO","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Communications","40","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Finance","30","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Human Resources","40","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","No function","360","300","27700","27570"
"Leaver Dept.","2022","EO","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","Unknown","Unknown","180","160","27110","27570"
"Leaver Dept.","2022","EO","White","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","White","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","White","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","White","Counter Fraud","40","40","[c]","[c]"
"Leaver Dept.","2022","EO","White","Debt","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","White","Digital, Data & Technology","50","50","27060","26700"
"Leaver Dept.","2022","EO","White","Finance","50","40","[c]","[c]"
"Leaver Dept.","2022","EO","White","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","White","Human Resources","110","110","26990","27500"
"Leaver Dept.","2022","EO","White","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","White","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","White","No function","1930","1850","26890","27570"
"Leaver Dept.","2022","EO","White","Project Delivery","100","100","24440","25380"
"Leaver Dept.","2022","EO","White","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","White","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","EO","White","Unknown","560","540","26280","25260"
"Leaver Dept.","2022","G6/G7","Asian","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Asian","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Asian","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Asian","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Asian","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Asian","No function","200","190","58050","54650"
"Leaver Dept.","2022","G6/G7","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Asian","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Black","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Black","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Black","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Black","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Black","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Black","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Black","No function","110","110","56430","53130"
"Leaver Dept.","2022","G6/G7","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Black","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Black","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Mixed","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Mixed","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Mixed","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Mixed","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Mixed","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Mixed","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Mixed","No function","80","80","56120","54130"
"Leaver Dept.","2022","G6/G7","Mixed","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Mixed","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Mixed","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Mixed","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Other ethnicity","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Other ethnicity","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Other ethnicity","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Other ethnicity","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Other ethnicity","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Other ethnicity","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Other ethnicity","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Other ethnicity","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Other ethnicity","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Other ethnicity","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Other ethnicity","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Other ethnicity","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Other ethnicity","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Other ethnicity","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Other ethnicity","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","No function","200","190","58000","54700"
"Leaver Dept.","2022","G6/G7","Undeclared","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Undeclared","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Analysis","100","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Commercial","40","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Communications","70","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","No function","410","290","58420","54700"
"Leaver Dept.","2022","G6/G7","Unknown","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","Unknown","Unknown","110","70","[c]","[c]"
"Leaver Dept.","2022","G6/G7","White","Analysis","80","70","57080","54400"
"Leaver Dept.","2022","G6/G7","White","Commercial","70","60","58670","54700"
"Leaver Dept.","2022","G6/G7","White","Communications","60","50","[c]","[c]"
"Leaver Dept.","2022","G6/G7","White","Counter Fraud","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","White","Digital, Data & Technology","120","110","57520","54700"
"Leaver Dept.","2022","G6/G7","White","Finance","90","80","58160","56800"
"Leaver Dept.","2022","G6/G7","White","Grants Management","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","White","Human Resources","110","100","58080","58510"
"Leaver Dept.","2022","G6/G7","White","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","White","Legal","50","50","60100","56660"
"Leaver Dept.","2022","G6/G7","White","No function","1940","1800","57630","54700"
"Leaver Dept.","2022","G6/G7","White","Project Delivery","110","110","57030","56180"
"Leaver Dept.","2022","G6/G7","White","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","White","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","G6/G7","White","Unknown","340","270","61000","57740"
"Leaver Dept.","2022","SCS","Asian","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Asian","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Asian","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Asian","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Asian","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Asian","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Asian","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Asian","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Asian","No function","70","60","105990","106500"
"Leaver Dept.","2022","SCS","Asian","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Asian","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Asian","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Asian","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Black","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Black","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Black","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Black","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Black","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Black","Human Resources","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Black","Internal Audit","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Black","Legal","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Black","No function","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Black","Project Delivery","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Black","Property","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Black","Security","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Black","Unknown","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Mixed","Analysis","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Mixed","Commercial","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Mixed","Communications","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Mixed","Digital, Data & Technology","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Mixed","Finance","[c]","[c]","[c]","[c]"
"Leaver Dept.","2022","SCS","Mixed","Human Resources","[c]","[c]","[c]","[c]"
